event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1374,16,98,129,5692,5692,16,82,31,5563,OK
2,5,2425,16,112,811,6374,6374,16,96,699,5563,OK
3,5,2657,16,100,132,5695,5695,16,84,32,5563,OK
4,5,3953,16,98,129,5692,5692,16,82,31,5563,OK
5,5,5152,16,98,130,5692,5692,16,82,32,5562,OK
6,5,5383,16,111,2805,8367,8367,16,95,2694,5562,OK
7,5,5560,16,97,129,5692,5692,16,81,32,5563,OK
8,5,5727,16,98,130,5693,5693,16,82,32,5563,OK
9,5,6615,16,97,129,5692,5692,16,81,32,5563,OK
10,5,7296,16,97,129,5692,5692,16,81,32,5563,OK
11,5,8207,16,98,142,5705,5705,16,82,44,5563,OK
12,5,8387,16,101,133,5696,5696,16,85,32,5563,OK
13,5,10087,16,111,143,5706,5706,16,95,32,5563,OK
14,5,10288,16,98,129,5692,5692,16,82,31,5563,OK
15,5,10464,16,97,1525,7088,7088,16,81,1428,5563,OK
16,5,10599,16,98,130,5693,5693,16,82,32,5563,OK
17,5,11604,16,98,1522,7085,7085,16,82,1424,5563,OK
18,5,12298,16,97,129,5692,5692,16,81,32,5563,OK
19,5,12489,16,97,129,5692,5692,16,81,32,5563,OK
20,5,12654,16,98,130,5693,5693,16,82,32,5563,OK
21,5,12829,16,98,130,5693,5693,16,82,32,5563,OK
22,5,13000,16,99,130,5693,5693,16,83,31,5563,OK
23,5,13148,16,98,129,5707,5707,16,82,31,5578,OK
24,5,13333,16,98,145,5708,5708,16,82,47,5563,OK
25,5,14462,16,98,4111,9674,9674,16,82,4013,5563,OK
26,5,15311,16,111,142,5705,5705,16,95,31,5563,OK
27,5,15523,16,100,3016,8579,8579,16,84,2916,5563,OK
28,5,15697,16,97,129,5691,5691,16,81,32,5562,OK
29,5,15899,16,97,129,5692,5692,16,81,32,5563,OK
30,5,16062,16,97,3891,9453,9453,16,81,3794,5562,OK
31,5,17197,16,98,140,5703,5703,16,82,42,5563,OK
32,5,17398,16,98,130,5693,5693,16,82,32,5563,OK
33,5,18892,16,97,129,5692,5692,16,81,32,5563,OK
34,5,19869,16,98,129,5692,5692,16,82,31,5563,OK
35,5,20066,16,100,133,5695,5695,16,84,33,5562,OK
36,5,21430,16,98,129,5692,5692,16,82,31,5563,OK
37,5,21678,16,98,130,5693,5693,16,82,32,5563,OK
38,5,22015,16,98,129,5692,5692,16,82,31,5563,OK
39,5,23254,16,98,129,5692,5692,16,82,31,5563,OK
40,5,23469,16,98,130,5692,5692,16,82,32,5562,OK
