event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1570,27,108,5721,11284,11284,27,81,5613,5563,OK
2,5,2550,16,230,5841,11404,11404,16,214,5611,5563,OK
3,5,2751,16,97,4531,10093,10093,16,81,4434,5562,OK
4,5,3666,15,97,128,5691,5691,15,82,31,5563,OK
5,5,3889,16,99,141,5704,5704,16,83,42,5563,OK
6,5,4087,16,97,128,5691,5691,16,81,31,5563,OK
7,5,4238,16,97,128,5691,5691,16,81,31,5563,OK
8,5,5386,16,97,129,5692,5692,16,81,32,5563,OK
9,5,6153,16,98,2471,8034,8034,16,82,2373,5563,OK
10,5,6353,16,97,2434,7997,7997,16,81,2337,5563,OK
11,5,6529,16,98,130,5693,5693,16,82,32,5563,OK
12,5,7394,16,110,1817,7379,7379,16,94,1707,5562,OK
13,5,8876,16,111,143,5706,5706,16,95,32,5563,OK
14,5,9111,16,98,5111,10674,10674,16,82,5013,5563,OK
15,5,9304,16,111,1764,7327,7327,16,95,1653,5563,OK
16,5,9487,16,98,129,5692,5692,16,82,31,5563,OK
17,5,10805,20,102,716,6279,6279,20,82,614,5563,OK
18,5,11159,16,98,130,5692,5692,16,82,32,5562,OK
19,5,11364,16,99,1898,7461,7461,16,83,1799,5563,OK
20,5,11600,16,229,5841,11404,11404,16,213,5612,5563,OK
21,5,13042,16,98,4013,9576,9576,16,82,3915,5563,OK
22,5,14146,16,97,129,5692,5692,16,81,32,5563,OK
23,5,14983,16,98,3101,8664,8664,16,82,3003,5563,OK
24,5,15177,16,98,133,5695,5695,16,82,35,5562,OK
25,5,16589,16,111,143,5706,5706,16,95,32,5563,OK
26,5,16810,16,98,5314,10876,10876,16,82,5216,5562,OK
27,5,17990,54,135,5748,11310,11310,54,81,5613,5562,OK
28,5,18198,16,111,143,5706,5706,16,95,32,5563,OK
29,5,18373,19,101,2987,8550,8550,19,82,2886,5563,OK
30,5,18546,16,97,129,5692,5692,16,81,32,5563,OK
31,5,20580,16,98,5546,11108,11108,16,82,5448,5562,OK
32,5,21753,16,98,2345,7908,7908,16,82,2247,5563,OK
33,5,21953,16,100,2203,7766,7766,16,84,2103,5563,OK
34,5,22142,16,100,3204,8766,8766,16,84,3104,5562,OK
35,5,22973,16,98,2882,8444,8444,16,82,2784,5562,OK
36,5,24686,16,98,130,5693,5693,16,82,32,5563,OK
37,5,24903,16,98,2281,7844,7844,16,82,2183,5563,OK
38,5,25114,16,98,2039,7602,7602,16,82,1941,5563,OK
39,5,25308,16,98,130,5692,5692,16,82,32,5562,OK
40,5,26558,16,98,130,5693,5693,16,82,32,5563,OK
