event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,560,18,99,131,5694,5694,18,81,32,5563,OK
2,5,1382,16,98,129,5692,5692,16,82,31,5563,OK
3,5,2080,16,98,130,5693,5693,16,82,32,5563,OK
4,5,2267,16,100,132,5694,5694,16,84,32,5562,OK
5,5,3091,16,98,130,5692,5692,16,82,32,5562,OK
6,5,4109,16,97,140,5702,5702,16,81,43,5562,OK
7,5,4314,16,98,129,5692,5692,16,82,31,5563,OK
8,5,4527,16,98,130,5693,5693,16,82,32,5563,OK
9,5,4948,16,97,129,5691,5691,16,81,32,5562,OK
10,5,6178,16,98,132,5695,5695,16,82,34,5563,OK
11,5,7582,16,98,130,5693,5693,16,82,32,5563,OK
12,5,7792,16,98,130,5693,5693,16,82,32,5563,OK
13,5,8966,16,98,130,5692,5692,16,82,32,5562,OK
14,5,9196,16,98,129,5692,5692,16,82,31,5563,OK
15,5,9418,16,100,132,5695,5695,16,84,32,5563,OK
16,5,9592,16,98,129,5692,5692,16,82,31,5563,OK
17,5,9771,16,98,129,5692,5692,16,82,31,5563,OK
18,5,10994,16,97,129,5692,5692,16,81,32,5563,OK
19,5,11872,16,98,129,5692,5692,16,82,31,5563,OK
20,5,12792,16,98,130,5693,5693,16,82,32,5563,OK
21,5,13681,16,98,129,5692,5692,16,82,31,5563,OK
22,5,13921,16,98,130,5692,5692,16,82,32,5562,OK
23,5,14133,16,98,130,5692,5692,16,82,32,5562,OK
24,5,14335,16,98,129,5692,5692,16,82,31,5563,OK
25,5,15517,16,98,129,5692,5692,16,82,31,5563,OK
26,5,16378,16,98,130,5693,5693,16,82,32,5563,OK
27,5,17135,16,97,129,5692,5692,16,81,32,5563,OK
28,5,18281,16,98,132,5695,5695,16,82,34,5563,OK
29,5,19476,16,112,144,5707,5707,16,96,32,5563,OK
30,5,19693,16,98,129,5692,5692,16,82,31,5563,OK
31,5,21064,16,98,130,5693,5693,16,82,32,5563,OK
32,5,21267,16,112,144,5706,5706,16,96,32,5562,OK
33,5,21455,16,97,129,5692,5692,16,81,32,5563,OK
34,5,21660,16,97,132,5695,5695,16,81,35,5563,OK
35,5,21855,16,99,130,5693,5693,16,83,31,5563,OK
36,5,23431,16,98,130,5693,5693,16,82,32,5563,OK
37,5,23638,16,98,129,5692,5692,16,82,31,5563,OK
38,5,25363,16,98,129,5692,5692,16,82,31,5563,OK
39,5,26594,16,98,130,5693,5693,16,82,32,5563,OK
40,5,28151,16,97,129,5692,5692,16,81,32,5563,OK
