event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1021,4169,4250,14168,19731,19731,4169,81,9918,5563,OK
2,5,1974,891,972,20890,26453,26453,891,81,19918,5563,LATE
3,5,2166,16,98,29138,34701,34701,16,82,29040,5563,LATE
4,5,3525,575,656,40573,46136,46136,575,81,39917,5563,LATE
5,5,3813,1836,1918,51835,57398,57398,1836,82,49917,5563,LATE
6,5,4035,224,304,60224,65786,65786,224,80,59920,5562,LATE
7,5,5400,4934,5015,74932,80495,80495,4934,81,69917,5563,LATE
8,5,5631,4553,4635,84551,90114,90114,4553,82,79916,5563,LATE
9,5,5845,21,102,90021,95584,95584,21,81,89919,5563,LATE
10,5,6037,16,98,98307,103870,103870,16,82,98209,5563,LATE
11,5,7173,2365,2447,112363,117926,117926,2365,82,109916,5563,LATE
12,5,8237,16,98,118324,123886,123886,16,82,118226,5562,LATE
13,5,9145,198,279,130196,135759,135759,198,81,129917,5563,LATE
14,5,9373,1731,1812,141731,147293,147293,1731,81,139919,5562,LATE
15,5,9525,478,559,150477,156040,156040,478,81,149918,5563,LATE
16,5,9716,16,98,158785,164348,164348,16,82,158687,5563,LATE
17,5,11045,365,446,,,,365,81,,,DROP
18,5,12506,16,101,,,,16,85,,,DROP
19,5,12723,2398,2480,,,,2398,82,,,DROP
20,5,12905,19974,20055,,,,19974,81,,,DROP
21,5,13090,35015,35096,,,,35015,81,,,DROP
22,5,13281,44099,44181,,,,44099,82,,,DROP
23,5,14937,16,111,,,,16,95,,,DROP
24,5,15124,13043,13125,,,,13043,82,,,DROP
25,5,16303,2552,2634,,,,2552,82,,,DROP
26,5,16526,16,98,,,,16,82,,,DROP
27,5,17840,16,98,,,,16,82,,,DROP
28,5,18069,16,98,,,,16,82,,,DROP
29,5,19526,16,98,,,,16,82,,,DROP
30,5,20506,16,98,,,,16,82,,,DROP
31,5,20703,2497,2579,,,,2497,82,,,DROP
32,5,20885,20729,20811,,,,20729,82,,,DROP
33,5,21045,60739,60822,,,,60739,83,,,DROP
34,5,21384,1402,1483,,,,1402,81,,,DROP
35,5,21578,6619,6700,,,,6619,81,,,DROP
36,5,23369,16,98,,,,16,82,,,DROP
37,5,24529,16,97,,,,16,81,,,DROP
38,5,24828,16,98,,,,16,82,,,DROP
39,5,25178,16,98,,,,16,82,,,DROP
40,5,25568,16,101,,,,16,85,,,DROP
