event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,872,16,98,3566,9129,9129,16,82,3468,5563,OK
2,5,1994,16,97,1533,7096,7096,16,81,1436,5563,OK
3,5,2858,16,97,129,5692,5692,16,81,32,5563,OK
4,5,3059,16,98,130,5693,5693,16,82,32,5563,OK
5,5,4272,16,97,3583,9146,9146,16,81,3486,5563,OK
6,5,5266,16,99,131,5694,5694,16,83,32,5563,OK
7,5,5853,16,97,2545,8108,8108,16,81,2448,5563,OK
8,5,6053,19,101,2989,8552,8552,19,82,2888,5563,OK
9,5,6214,16,97,1601,7164,7164,16,81,1504,5563,OK
10,5,6391,16,98,4670,10233,10233,16,82,4572,5563,OK
11,5,7448,16,97,129,5693,5693,16,81,32,5564,OK
12,5,7663,16,98,2298,7861,7861,16,82,2200,5563,OK
13,5,7838,16,98,130,5693,5693,16,82,32,5563,OK
14,5,8005,16,98,608,6171,6171,16,82,510,5563,OK
15,5,9097,16,97,129,5692,5692,16,81,32,5563,OK
16,5,10000,115,198,5811,11375,11375,115,83,5613,5564,OK
17,5,10201,16,111,4810,10373,10373,16,95,4699,5563,OK
18,5,11344,16,98,1401,6964,6964,16,82,1303,5563,OK
19,5,11533,16,98,2675,8238,8238,16,82,2577,5563,OK
20,5,12554,18,101,1163,6726,6726,18,83,1062,5563,OK
21,5,12913,16,99,2424,7987,7987,16,83,2325,5563,OK
22,5,13158,16,110,142,5705,5705,16,94,32,5563,OK
23,5,14222,16,110,3778,9341,9341,16,94,3668,5563,OK
24,5,15302,18,101,3152,8715,8715,18,83,3051,5563,OK
25,5,15939,16,112,144,5707,5707,16,96,32,5563,OK
26,5,16137,16,98,130,5693,5693,16,82,32,5563,OK
27,5,16321,16,98,4330,9893,9893,16,82,4232,5563,OK
28,5,16485,16,98,938,6501,6501,16,82,840,5563,OK
29,5,16640,15,97,5435,10998,10998,15,82,5338,5563,OK
30,5,17322,16,100,3181,8744,8744,16,84,3081,5563,OK
31,5,18428,16,97,129,5692,5692,16,81,32,5563,OK
32,5,19723,16,98,2367,7930,7930,16,82,2269,5563,OK
33,5,19925,16,98,403,5966,5966,16,82,305,5563,OK
34,5,20854,16,97,1466,7029,7029,16,81,1369,5563,OK
35,5,22134,16,97,1292,6855,6855,16,81,1195,5563,OK
36,5,23371,16,98,4509,10073,10073,16,82,4411,5564,OK
37,5,24378,16,97,129,5693,5693,16,81,32,5564,OK
38,5,24779,16,97,129,5692,5692,16,81,32,5563,OK
39,5,24972,16,100,3229,8792,8792,16,84,3129,5563,OK
40,5,26641,16,98,4567,10130,10130,16,82,4469,5563,OK
