event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1288,16,98,130,5693,5693,16,82,32,5563,OK
2,5,2084,28,110,1725,7288,7288,28,82,1615,5563,OK
3,5,2912,16,98,130,5693,5693,16,82,32,5563,OK
4,5,4364,16,97,1509,7072,7072,16,81,1412,5563,OK
5,5,5107,16,98,129,5692,5692,16,82,31,5563,OK
6,5,5840,16,98,5380,10943,10943,16,82,5282,5563,OK
7,5,6062,16,99,3237,8800,8800,16,83,3138,5563,OK
8,5,6263,16,98,2552,8115,8115,16,82,2454,5563,OK
9,5,6446,16,110,142,5705,5705,16,94,32,5563,OK
10,5,7268,27,109,141,5704,5704,27,82,32,5563,OK
11,5,8198,16,98,130,5693,5693,16,82,32,5563,OK
12,5,9063,16,98,2320,7884,7884,16,82,2222,5564,OK
13,5,9849,16,97,129,5692,5692,16,81,32,5563,OK
14,5,10774,16,98,130,5693,5693,16,82,32,5563,OK
15,5,11561,16,100,4224,9787,9787,16,84,4124,5563,OK
16,5,11788,28,109,141,5704,5704,28,81,32,5563,OK
17,5,12739,16,98,130,5693,5693,16,82,32,5563,OK
18,5,14893,16,98,130,5693,5693,16,82,32,5563,OK
19,5,15123,16,97,2479,8042,8042,16,81,2382,5563,OK
20,5,15312,16,97,132,5695,5695,16,81,35,5563,OK
21,5,15514,15,97,129,5692,5692,15,82,32,5563,OK
22,5,15666,16,98,130,5693,5693,16,82,32,5563,OK
23,5,17193,23,105,137,5700,5700,23,82,32,5563,OK
24,5,18305,16,98,1011,6574,6574,16,82,913,5563,OK
25,5,19116,16,98,131,5694,5694,16,82,33,5563,OK
26,5,19309,16,98,130,5693,5693,16,82,32,5563,OK
27,5,19491,16,98,130,5693,5693,16,82,32,5563,OK
28,5,19679,16,98,130,5693,5693,16,82,32,5563,OK
29,5,19841,16,98,4880,10443,10443,16,82,4782,5563,OK
30,5,21106,24,107,142,5705,5705,24,83,35,5563,OK
31,5,22158,18,100,132,5695,5695,18,82,32,5563,OK
32,5,22364,16,98,1272,6835,6835,16,82,1174,5563,OK
33,5,23715,16,99,130,5693,5693,16,83,31,5563,OK
34,5,23953,16,98,129,5692,5692,16,82,31,5563,OK
35,5,24163,16,98,3137,8700,8700,16,82,3039,5563,OK
36,5,25554,16,98,129,5692,5692,16,82,31,5563,OK
37,5,26511,16,98,130,5693,5693,16,82,32,5563,OK
38,5,26766,16,98,129,5693,5693,16,82,31,5564,OK
39,5,27038,16,98,130,5693,5693,16,82,32,5563,OK
40,5,27430,16,98,130,5693,5693,16,82,32,5563,OK
