event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,655,16,97,2680,8243,8243,16,81,2583,5563,OK
2,5,1416,16,98,2141,7705,7705,16,82,2043,5564,OK
3,5,1613,16,96,4548,10111,10111,16,80,4452,5563,OK
4,5,2745,16,97,2568,8132,8132,16,81,2471,5564,OK
5,5,3809,16,97,129,5692,5692,16,81,32,5563,OK
6,5,4628,16,100,132,5695,5695,16,84,32,5563,OK
7,5,4858,16,99,131,5694,5694,16,83,32,5563,OK
8,5,5047,16,97,424,5987,5987,16,81,327,5563,OK
9,5,5238,16,97,129,5692,5692,16,81,32,5563,OK
10,5,5381,713,795,6408,11971,11971,713,82,5613,5563,OK
11,5,6571,1433,1514,7128,12691,12691,1433,81,5614,5563,OK
12,5,7463,16,97,4474,10037,10037,16,81,4377,5563,OK
13,5,7673,16,97,4915,10479,10479,16,81,4818,5564,OK
14,5,7858,16,97,129,5692,5692,16,81,32,5563,OK
15,5,8042,470,552,6165,11728,11728,470,82,5613,5563,OK
16,5,8211,951,1032,6646,12209,12209,951,81,5614,5563,OK
17,5,9305,16,98,3103,8666,8666,16,82,3005,5563,OK
18,5,10316,16,98,1449,7011,7011,16,82,1351,5562,OK
19,5,11329,16,98,130,5693,5693,16,82,32,5563,OK
20,5,12321,980,1061,6675,12238,12238,980,81,5614,5563,OK
21,5,13318,16,110,142,5705,5705,16,94,32,5563,OK
22,5,14192,508,590,6203,11766,11766,508,82,5613,5563,OK
23,5,14398,15,97,128,5691,5691,15,82,31,5563,OK
24,5,14585,16,99,2858,8421,8421,16,83,2759,5563,OK
25,5,14756,16,98,1962,7525,7525,16,82,1864,5563,OK
26,5,15862,227,308,5922,11485,11485,227,81,5614,5563,OK
27,5,16764,16,98,3501,9064,9064,16,82,3403,5563,OK
28,5,16963,16,98,4274,9836,9836,16,82,4176,5562,OK
29,5,18031,799,881,6495,12058,12058,799,82,5614,5563,OK
30,5,19035,16,99,2552,8115,8115,16,83,2453,5563,OK
31,5,19245,16,112,2818,8381,8381,16,96,2706,5563,OK
32,5,19430,16,98,2263,7826,7826,16,82,2165,5563,OK
33,5,19607,16,98,486,6049,6049,16,82,388,5563,OK
34,5,20998,15,97,129,5692,5692,15,82,32,5563,OK
35,5,21945,16,97,2504,8067,8067,16,81,2407,5563,OK
36,5,22150,16,2232,7845,13408,13408,16,2216,5613,5563,OK
37,5,22350,1706,1788,7402,12965,12965,1706,82,5614,5563,OK
38,5,22528,16,97,129,5692,5692,16,81,32,5563,OK
39,5,23961,1475,1556,7169,12732,12732,1475,81,5613,5563,OK
40,5,24166,16,98,1861,7424,7424,16,82,1763,5563,OK
