Senaryo,Oturum,Kaynak,Periyot,Yük,Başarılı,Ort. ms,Maks. ms,> 20 ms,Başarısız / kayıp,Ayar karttan doğrulandı,load_iter,stage1_mean_us,stage2_mean_us,stage3_mean_us,stage4_mean_us
S5,2,kart,100 ms,0 ms,40,0.83,0.84,0,0 / 0,1,0,16.0,82.5,31.9,697.6
S5,3,kart,20 ms,0 ms,40,0.83,0.84,0,0 / 0,1,0,16.0,82.5,32.4,698.0
S5,4,kart,10 ms,0 ms,40,0.85,1.39,0,0 / 0,1,0,16.9,82.2,57.6,697.8
S5,5,kart,10 ms,2 ms,41,1.38,3.67,0,0 / 0,1,15916,315,134.4,235.7,697.6
S5,6,kart,10 ms,5 ms,40,2.14,6.30,0,0 / 0,1,39691,991.9,82.5,372.9,697.5
