Senaryo,Oturum,Kaynak,Periyot,Yük,Başarılı,Ort. ms,Maks. ms,> 20 ms,Başarısız / kayıp,Ayar karttan doğrulandı,load_iter,stage1_mean_us,stage2_mean_us,stage3_mean_us,stage4_mean_us
S5,1,kart,20 ms,0 ms,40,6.11,9.67,0,0 / 0,1,0,16,83.3,451.3,5563.2
S5,2,kart,10 ms,0 ms,40,7.61,11.40,0,0 / 0,1,0,17.4,90.1,1944.0,5562.8
S5,3,kart,10 ms,2 ms,40,8.02,13.33,0,0 / 0,1,15346,54.8,134.6,2266.8,5562.8
S5,4,kart,10 ms,5 ms,16,91.59,164.35,15,24 / 0,1,39862,1377.4,81.4,84573.4,5562.8
