event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1208,16,98,129,827,827,16,82,31,698,OK
2,5,2672,16,98,130,827,827,16,82,32,697,OK
3,5,3010,15,97,129,827,827,15,82,32,698,OK
4,5,4160,18,100,131,829,829,18,82,31,698,OK
5,5,4431,16,98,129,827,827,16,82,31,698,OK
6,5,4664,16,98,129,827,827,16,82,31,698,OK
7,5,5781,16,110,142,839,839,16,94,32,697,OK
8,5,6792,16,98,129,826,826,16,82,31,697,OK
9,5,7015,16,98,129,827,827,16,82,31,698,OK
10,5,7205,16,97,129,827,827,16,81,32,698,OK
11,5,7385,16,98,129,827,827,16,82,31,698,OK
12,5,8180,16,98,129,827,827,16,82,31,698,OK
13,5,8404,16,98,133,830,830,16,82,35,697,OK
14,5,8579,16,98,130,827,827,16,82,32,697,OK
15,5,8764,16,97,129,827,827,16,81,32,698,OK
16,5,8934,16,97,129,826,826,16,81,32,697,OK
17,5,9920,16,98,142,839,839,16,82,44,697,OK
18,5,10865,16,98,129,827,827,16,82,31,698,OK
19,5,12048,16,97,130,827,827,16,81,33,697,OK
20,5,12229,16,98,130,827,827,16,82,32,697,OK
21,5,13335,16,100,132,830,830,16,84,32,698,OK
22,5,14295,16,98,129,827,827,16,82,31,698,OK
23,5,15033,16,97,129,827,827,16,81,32,698,OK
24,5,15238,16,98,129,827,827,16,82,31,698,OK
25,5,15409,16,97,129,827,827,16,81,32,698,OK
26,5,15594,16,98,129,826,826,16,82,31,697,OK
27,5,16667,16,97,129,826,826,16,81,32,697,OK
28,5,17328,16,98,130,827,827,16,82,32,697,OK
29,5,17930,16,98,130,828,828,16,82,32,698,OK
30,5,18571,16,98,129,827,827,16,82,31,698,OK
31,5,19324,16,98,130,827,827,16,82,32,697,OK
32,5,19528,16,98,129,827,827,16,82,31,698,OK
33,5,19712,16,98,130,828,828,16,82,32,698,OK
34,5,19892,16,98,129,827,827,16,82,31,698,OK
35,5,20955,16,98,130,827,827,16,82,32,697,OK
36,5,21164,16,98,130,828,828,16,82,32,698,OK
37,5,21334,16,98,130,827,827,16,82,32,697,OK
38,5,21520,16,113,142,840,840,16,97,29,698,OK
39,5,22933,16,98,130,827,827,16,82,32,697,OK
40,5,23120,16,98,130,827,827,16,82,32,697,OK
