event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1078,16,97,129,827,827,16,81,32,698,OK
2,5,1719,16,97,129,827,827,16,81,32,698,OK
3,5,1922,16,97,129,826,826,16,81,32,697,OK
4,5,2089,16,98,132,830,830,16,82,34,698,OK
5,5,3072,16,98,130,827,827,16,82,32,697,OK
6,5,4105,16,97,129,826,826,16,81,32,697,OK
7,5,4838,16,97,129,827,827,16,81,32,698,OK
8,5,5057,16,97,129,827,827,16,81,32,698,OK
9,5,5233,16,98,129,827,827,16,82,31,698,OK
10,5,5407,16,98,129,827,827,16,82,31,698,OK
11,5,5569,16,110,142,839,839,16,94,32,697,OK
12,5,6602,16,100,132,830,830,16,84,32,698,OK
13,5,6801,16,97,129,826,826,16,81,32,697,OK
14,5,6988,16,98,130,828,828,16,82,32,698,OK
15,5,7141,16,98,129,841,841,16,82,31,712,OK
16,5,8212,16,100,133,830,830,16,84,33,697,OK
17,5,9271,16,97,129,827,827,16,81,32,698,OK
18,5,10159,18,100,133,830,830,18,82,33,697,OK
19,5,10357,16,98,129,827,827,16,82,31,698,OK
20,5,11452,16,97,129,827,827,16,81,32,698,OK
21,5,12286,16,98,130,828,828,16,82,32,698,OK
22,5,12509,16,97,132,829,829,16,81,35,697,OK
23,5,12675,16,98,129,827,827,16,82,31,698,OK
24,5,12862,16,100,132,829,829,16,84,32,697,OK
25,5,14362,16,98,130,828,828,16,82,32,698,OK
26,5,15311,16,100,132,830,830,16,84,32,698,OK
27,5,16123,16,97,129,827,827,16,81,32,698,OK
28,5,16319,16,98,130,828,828,16,82,32,698,OK
29,5,16505,16,111,143,840,840,16,95,32,697,OK
30,5,16668,16,97,132,829,829,16,81,35,697,OK
31,5,16822,15,100,132,830,830,15,85,32,698,OK
32,5,17779,16,97,129,828,828,16,81,32,699,OK
33,5,18614,16,98,129,827,827,16,82,31,698,OK
34,5,19361,16,97,129,826,826,16,81,32,697,OK
35,5,19573,16,98,130,827,827,16,82,32,697,OK
36,5,19728,16,98,130,827,827,16,82,32,697,OK
37,5,19907,16,98,130,827,827,16,82,32,697,OK
38,5,20906,16,98,130,827,827,16,82,32,697,OK
39,5,21121,16,98,143,840,840,16,82,45,697,OK
40,5,21250,16,98,130,828,828,16,82,32,698,OK
