event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1499,16,97,129,827,827,16,81,32,698,OK
2,5,2516,16,97,129,826,826,16,81,32,697,OK
3,5,2733,16,97,129,827,827,16,81,32,698,OK
4,5,3617,16,97,129,827,827,16,81,32,698,OK
5,5,4695,16,98,129,828,828,16,82,31,699,OK
6,5,5360,15,97,692,1390,1390,15,82,595,698,OK
7,5,5578,16,97,129,827,827,16,81,32,698,OK
8,5,5759,16,98,130,828,828,16,82,32,698,OK
9,5,5957,28,110,142,839,839,28,82,32,697,OK
10,5,6945,16,98,129,827,827,16,82,31,698,OK
11,5,7839,16,98,130,827,827,16,82,32,697,OK
12,5,8056,16,98,130,827,827,16,82,32,697,OK
13,5,8233,16,98,130,827,827,16,82,32,697,OK
14,5,8414,16,98,130,827,827,16,82,32,697,OK
15,5,8590,15,100,466,1164,1164,15,85,366,698,OK
16,5,8758,16,97,129,827,827,16,81,32,698,OK
17,5,8939,16,98,129,827,827,16,82,31,698,OK
18,5,9092,16,98,129,827,827,16,82,31,698,OK
19,5,10068,16,98,129,827,827,16,82,31,698,OK
20,5,10262,16,98,130,828,828,16,82,32,698,OK
21,5,11197,16,111,142,840,840,16,95,31,698,OK
22,5,12003,16,98,129,827,827,16,82,31,698,OK
23,5,12207,28,110,142,840,840,28,82,32,698,OK
24,5,12392,16,98,130,828,828,16,82,32,698,OK
25,5,12546,16,97,129,827,827,16,81,32,698,OK
26,5,12714,28,110,141,839,839,28,82,31,698,OK
27,5,13744,16,98,129,827,827,16,82,31,698,OK
28,5,14575,16,98,129,827,827,16,82,31,698,OK
29,5,15414,16,97,129,827,827,16,81,32,698,OK
30,5,16209,16,98,129,827,827,16,82,31,698,OK
31,5,16977,16,98,129,827,827,16,82,31,698,OK
32,5,17188,16,98,129,826,826,16,82,31,697,OK
33,5,17503,16,98,130,828,828,16,82,32,698,OK
34,5,17702,16,97,142,840,840,16,81,45,698,OK
35,5,17879,16,98,129,827,827,16,82,31,698,OK
36,5,19187,16,98,129,827,827,16,82,31,698,OK
37,5,20107,16,98,130,828,828,16,82,32,698,OK
38,5,21004,16,97,129,827,827,16,81,32,698,OK
39,5,22060,16,99,259,956,956,16,83,160,697,OK
40,5,23016,16,100,133,830,830,16,84,33,697,OK
